regime,architecture,mode,sigma_obs,n_samples,n_diverged,rmse_b_mean,rmse_b_std,rmse_b_median,rmse_b_q25,rmse_b_q75,rmse_a_mean,rmse_a_std,rmse_a_median,rmse_a_q25,rmse_a_q75,improvement_bg_mean,improvement_bg_std,improvement_bg_median,improvement_bg_q25,improvement_bg_q75,hausdorff_mean,hausdorff_std,hausdorff_median,hausdorff_q25,hausdorff_q75,divergence_rate
fixedmean,LSTM,x,0.5,1,0,732612.8905801708,,732612.8905801708,732612.8905801708,732612.8905801708,729247.4787271405,,729247.4787271405,729247.4787271405,729247.4787271405,0.0045937109438044235,,0.0045937109438044235,0.0045937109438044235,0.0045937109438044235,,,,,,0.0
fixedmean,LSTM,x,1.0,1,0,722998.4018494544,,722998.4018494544,722998.4018494544,722998.4018494544,757452.3719952508,,757452.3719952508,757452.3719952508,757452.3719952508,-0.04765428257885771,,-0.04765428257885771,-0.04765428257885771,-0.04765428257885771,,,,,,0.0
fixedmean,LSTM,x2,0.05,1,0,889446.2629980538,,889446.2629980538,889446.2629980538,889446.2629980538,983091.9929830376,,983091.9929830376,983091.9929830376,983091.9929830376,-0.1052854274403632,,-0.1052854274403632,-0.1052854274403632,-0.1052854274403632,,,,,,0.0
fixedmean,LSTM,x2,0.1,1,0,904079.0476638768,,904079.0476638768,904079.0476638768,904079.0476638768,989391.369647366,,989391.369647366,989391.369647366,989391.369647366,-0.09436378622415241,,-0.09436378622415241,-0.09436378622415241,-0.09436378622415241,,,,,,0.0
fixedmean,LSTM,x2,0.5,1,0,768547.2926751922,,768547.2926751922,768547.2926751922,768547.2926751922,776548.4781994735,,776548.4781994735,776548.4781994735,776548.4781994735,-0.010410791372942532,,-0.010410791372942532,-0.010410791372942532,-0.010410791372942532,,,,,,0.0
fixedmean,LSTM,x2,1.0,1,0,901236.49721775,,901236.49721775,901236.49721775,901236.49721775,938561.7181006128,,938561.7181006128,938561.7181006128,938561.7181006128,-0.041415567387795844,,-0.041415567387795844,-0.041415567387795844,-0.041415567387795844,,,,,,0.0
fixedmean,LSTM,xy,0.05,1,0,752034.8394001741,,752034.8394001741,752034.8394001741,752034.8394001741,814229.0018415331,,814229.0018415331,814229.0018415331,814229.0018415331,-0.0827011717847611,,-0.0827011717847611,-0.0827011717847611,-0.0827011717847611,,,,,,0.0
fixedmean,LSTM,xy,0.1,1,0,910982.1502017952,,910982.1502017952,910982.1502017952,910982.1502017952,970254.410502888,,970254.410502888,970254.410502888,970254.410502888,-0.06506412917965859,,-0.06506412917965859,-0.06506412917965859,-0.06506412917965859,,,,,,0.0
fixedmean,LSTM,xy,0.5,1,0,759826.9198094668,,759826.9198094668,759826.9198094668,759826.9198094668,811208.7686262853,,811208.7686262853,811208.7686262853,811208.7686262853,-0.06762309609891537,,-0.06762309609891537,-0.06762309609891537,-0.06762309609891537,,,,,,0.0
fixedmean,LSTM,xy,1.0,1,0,746703.1155585843,,746703.1155585843,746703.1155585843,746703.1155585843,760192.0803606615,,760192.0803606615,760192.0803606615,760192.0803606615,-0.01806469602311288,,-0.01806469602311288,-0.01806469602311288,-0.01806469602311288,,,,,,0.0
fixedmean,MLP,x,0.05,1,1,957287.0445754268,,957287.0445754268,957287.0445754268,957287.0445754268,1258227.708615244,,1258227.708615244,1258227.708615244,1258227.708615244,-0.3143682615837443,,-0.3143682615837443,-0.3143682615837443,-0.3143682615837443,,,,,,1.0
fixedmean,MLP,x,0.1,1,0,763178.3427765835,,763178.3427765835,763178.3427765835,763178.3427765835,713268.1053546923,,713268.1053546923,713268.1053546923,713268.1053546923,0.06539786917997245,,0.06539786917997245,0.06539786917997245,0.06539786917997245,,,,,,0.0
fixedmean,MLP,x,0.5,1,0,752959.9757776406,,752959.9757776406,752959.9757776406,752959.9757776406,780592.4091212177,,780592.4091212177,780592.4091212177,780592.4091212177,-0.03669840925480656,,-0.03669840925480656,-0.03669840925480656,-0.03669840925480656,,,,,,0.0
fixedmean,MLP,x,1.0,1,0,772141.9340416581,,772141.9340416581,772141.9340416581,772141.9340416581,713955.113351671,,713955.113351671,713955.113351671,713955.113351671,0.07535767470290998,,0.07535767470290998,0.07535767470290998,0.07535767470290998,,,,,,0.0
fixedmean,MLP,x2,0.05,1,0,77920.11176119093,,77920.11176119093,77920.11176119093,77920.11176119093,79675.6332769723,,79675.6332769723,79675.6332769723,79675.6332769723,-0.02252976126576508,,-0.02252976126576508,-0.02252976126576508,-0.02252976126576508,,,,,,0.0
fixedmean,MLP,x2,0.1,1,0,891099.2195037757,,891099.2195037757,891099.2195037757,891099.2195037757,972556.3598191648,,972556.3598191648,972556.3598191648,972556.3598191648,-0.09141197582997532,,-0.09141197582997532,-0.09141197582997532,-0.09141197582997532,,,,,,0.0
fixedmean,MLP,x2,0.5,1,0,21.89225939631832,,21.89225939631832,21.89225939631832,21.89225939631832,22.17319432338705,,22.17319432338705,22.17319432338705,22.17319432338705,-0.01283261457773429,,-0.01283261457773429,-0.01283261457773429,-0.01283261457773429,,,,,,0.0
